Date,Competition,,Score,
14/07/2018,"Pre-Season","Telford Utd","0 - 3","Aston Villa"
14/07/2018,"Pre-Season",Kidderminster,"1 - 1","Aston Villa"
17/07/2018,"Pre-Season",Walsall,1 - 4,"Aston Villa"
21/07/2018,"Pre-Season",Burton,"0 - 4","Aston Villa"
25/07/2018,"Pre-Season","Aston Villa","1 - 3","West Ham"
28/07/2018,"Pre-Season","Dynamo Dresden","1 - 2","Aston Villa"
06/08/2018,Championship,Hull,"1 - 3","Aston Villa"
11/08/2018,Championship,"Aston Villa","3 - 2",Wigan
14/08/2018,"League Cup",Yeovil,"0 - 1","Aston Villa"
18/08/2018,Championship,Ipswich,"1 - 1","Aston Villa"
22/08/2018,Championship,"Aston Villa","2 - 2",Brentford
25/08/2018,Championship,"Aston Villa","1 - 1",Reading
28/08/2018,"League Cup",Burton,"1 - 0","Aston Villa"
01/09/2018,Championship,"Sheffield Utd","4 - 1","Aston Villa"
15/09/2018,Championship,Blackburn,"1 - 1","Aston Villa"
18/09/2018,Championship,"Aston Villa","2 - 0",Rotherham
22/09/2018,"League Cup","Aston Villa","1 - 2","Sheffield Wed"
28/09/2018,Championship,"Bristol City","1 - 1","Aston Villa"
02/10/2018,Championship,"Aston Villa","3 - 3",Preston
06/10/2018,Championship,Millwall,"2 - 1","Aston Villa"
20/10/2018,Championship,"Aston Villa","1 - 0",Swansea
23/10/2018,Championship,Norwich,"2 - 1","Aston Villa"
26/10/2018,Championship,QPR,"1 - 0","Aston Villa"
02/11/2018,Championship,"Aston Villa","2 - 0",Bolton
10/11/2018,Championship,Derby,"0 - 3","Aston Villa"
25/11/2018,Championship,"Aston Villa","4 - 2",Birmingham
28/11/2018,Championship,"Aston Villa","5 - 5","Nottm Forest"
01/12/2018,Championship,Middlesbrough,"0 - 3","Aston Villa"
07/12/2018,Championship,"West Brom","2 - 2","Aston Villa"
15/12/2018,Championship,"Aston Villa","2 - 2",Stoke
23/12/2018,Championship,"Aston Villa","2 - 3",Leeds
26/12/2018,Championship,Swansea,"0 - 1","Aston Villa"
29/12/2018,Championship,Preston,"1 - 1","Aston Villa"
01/01/2019,Championship,"Aston Villa","2 - 2",QPR
05/01/2019,"FA Cup","Aston Villa","0 - 3",Swansea
12/01/2019,Championship,Wigan,"3 - 0","Aston Villa"
19/01/2019,Championship,"Aston Villa","2 - 2",Hull
26/01/2019,Championship,"Aston Villa","2 - 1",Ipswich
02/02/2019,Championship,Reading,"0 - 0","Aston Villa"
08/02/2019,Championship,"Aston Villa","3 - 3","Sheffield Utd"
13/02/2019,Championship,Brentford,"1 - 0","Aston Villa"
16/02/2019,Championship,"Aston Villa","0 - 2","West Brom"
23/02/2019,Championship,Stoke,"1 - 1","Aston Villa"
02/03/2019,Championship,"Aston Villa","4 - 0",Derby
10/03/2019,Championship,Birmingham,"0 - 1","Aston Villa"
13/03/2019,Championship,"Nottm Forest","1 - 3","Aston Villa"
16/03/2019,Championship,"Aston Villa","3 - 0",Middlesbrough
30/03/2019,Championship,"Aston Villa","2 - 1",Blackburn
06/04/2019,Championship,"Sheffield Wed","1 - 3","Aston Villa"
10/04/2019,Championship,Rotherham,"1 - 2","Aston Villa"
13/04/2019,Championship,"Aston Villa","2 - 1","Bristol City"
19/04/2019,Championship,Bolton,"0 - 2","Aston Villa"
22/04/2019,Championship,"Aston Villa","1 - 0",Millwall
28/04/2019,Championship,Leeds,"1 - 1","Aston Villa"
05/05/2019,Championship,"Aston Villa","1 - 2",Norwich
11/05/2019,"Championship,Play Off","Aston Villa","2 - 1","West Brom"
14/05/2019,"Championship,Play Off","West Brom","1 - 0 (3) - (4)","Aston Villa"
27/05/2019,"Play Off Final","Aston Villa","2 - 1",Derby
