Pos,,,Pld,W,D,L,GF,GA,GD,Pts,
1,"/img/teams/manc48.png","Man. City",38,28,7,3,96,34,62,91,
2,"/img/teams/ars48.png",Arsenal,38,28,5,5,91,29,62,89,
3,"/img/teams/liv48.png",Liverpool,38,24,10,4,86,41,45,82,
4,"/img/teams/avfc48.png",Aston Villa,38,20,8,10,76,61,15,68,
5,"/img/teams/spurs48.png",Tottenham,38,20,6,12,74,61,13,66,
6,"/img/teams/chels48.png",Chelsea,38,18,9,11,77,63,14,63,
7,"/img/teams/newc48.png",Newcastle,38,18,6,14,85,62,23,60,
8,"/img/teams/manu48.png","Man. Utd",38,16,6,14,57,58,-1,60,
9,"/img/teams/wham48.png","West Ham",38,14,10,14,60,74,-14,52,
10,"/img/teams/cpfc48.png","Crystal Pal",38,13,10,15,57,58,-1,49,
11,"/img/teams/bright48.png",Brighton,38,12,12,14,55,62,-7,48,
12,"/img/teams/bmth48.png",Bournemouth,38,13,9,16,54,67,-13,48,
13,"/img/teams/ffc48.png",Fulham,38,13,8,17,55,61,-6,47,
14,"/img/teams/wwfc48.png",Wolverhampton,38,13,7,18,50,65,-15,46,
15,"/img/teams/efc48.png",Everton,38,13,9,16,40,51,-11,"40 *",
16,"/img/teams/bford48.png",Brentford,38,10,9,19,56,65,-9,39,
17,"/img/teams/nottmf96.png","Nottm For",38,9,9,20,49,67,-18,"32 **",
18,"/img/teams/luton96.png",Luton,38,6,8,24,52,85,-33,26,R
19,"/img/teams/burn48.png",Burnley,38,5,9,24,41,78,-37,24,R
20,"/img/teams/sheffu48.png","Sheff Utd",38,3,7,28,35,104,-69,16,R
