,Player,From,Fee,Date
"/img/countries/brazil.svg","Diego Carlos",Sevilla,"€31,000,000",01/07/2022
"/img/countries/brazil.svg","Phillipe Coutinho",Barcelona,"€20,000,000",01/07/2022
"/img/countries/sweden.svg","Robin Olsen",Roma,"€3,500,000",01/07/2022
"/img/countries/france.svg","Boubacar Kamara",Marseille,Free,01/07/2022
"/img/countries/sweden.svg","Ludwig Augustinsson",Sevilla,"Loan Fee €500,000",11/07/2022
"/img/countries/belgium.svg","Leander Dendoncker",Wolverhampton,"€15,000,000",01/09/2022
"/img/countries/poland.svg","Jan Bednarek",Southampton,Loan,01/09/2022
"/img/countries/finland.svg","Viljami Sinisalo","Burton Albion","End of Loan",02/01/2023
"/img/countries/spain.svg","Álex Moreno","Real Betis","€13,500,000",11/01/2023
"/img/countries/colombia.svg","Jhon Durán","Chicago Fire","€16,600,000",16/01/2023
"/img/countries/burkina-faso.svg","Bertrand Traoré","Basaksehir","End of Loan",31/01/2023
"/img/countries/england.svg","Cameron Archer","Middlesborough","End of Loan",31/05/2023
"/img/countries/zimbabwe.svg","Marvelous Nakamba","Luton","End of Loan",31/05/2023
"/img/countries/england.svg","Tim Iroegbunam","QPR","End of Loan",31/05/2023
"/img/countries/england.svg","Keinan Davis","Watford","End of Loan",31/05/2023
"/img/countries/england.svg","Kortney Hause","Watford","End of Loan",31/05/2023
"/img/countries/england.svg","Jaden Philogene-Bidace","Cardiff","End of Loan",31/05/2023
