,Player,To,Fee,Date
"/img/countries/england.svg","Callum Row",Exeter,Free,28-Jun-21
"/img/countries/england.svg","Tom Heaton","Man. Utd",Free,01-Jul-21
"/img/countries/croatia.svg","Lovre Kalinic","Hadjuk Split",Loan,01-Jul-21
"/img/countries/wales.svg","Neil Taylor",,Released,01-Jul-21
"/img/countries/england.svg","Jake Walker",,Released,01-Jul-21
"/img/countries/england.svg","Michael Tait",,Released,01-Jul-21
"/img/countries/egypt.svg","Ahmed Elmohamady",,Released,01-Jul-21
"/img/countries/tanzania.svg","Mbwana Samatta",Fenerbahce,Undisc.,03-Jul-21
"/img/countries/united-states.svg","Indiana Vassilev","Inter Miami CF",Loan,07-Jul-21
"/img/countries/belgium.svg","Bjorn Engels","Royal Antwerp","£6,900,000",18-Jul-21
"/img/countries/england.svg","Finn Azaz","Newport Co.",Loan,26-Jul-21
"/img/countries/england.svg","Sebastian Revan",Grimsby,Loan,28-Jul-21
"/img/countries/england.svg","Kaine Kesler Hayden",Swindon,Loan,02-Aug-21
"/img/countries/england.svg","Jack Grealish","Man. City","£100,000,000",05-Aug-21
"/img/countries/england.svg","Louie Barry",Ipswich,Loan,05-Aug-21
"/img/countries/england.svg","Brad Young",Carlisle,Loan,16-Aug-21
"/img/countries/ireland.svg","Tyreik Wright","Salford City",Loan,17-Aug-21
"/img/countries/england.svg","Arjan Raikhy","Stockport Co.",Loan,20-Aug-21
"/img/countries/brazil.svg","Wesley","Club Brugge",Loan,28-Aug-21
"/img/countries/ireland.svg","Conor Hourihane","Sheff Utd",Loan,30-Aug-21
"/img/countries/england.svg","Dominic Revan",Northampton,Loan,31-Aug-21
"/img/countries/england.svg","Mungo Bridge","FC Annecy",Loan,31-Aug-21
"/img/countries/france.svg","Frederic Guilbert",Strasbourg,Loan,31-Aug-21
"/img/countries/england.svg","Keinan Davis","Notts. For",Loan,01-Jan-22
"/img/countries/brazil.svg","Wesley",Internacional,Loan,06-Jan-22
"/img/countries/england.svg","Aaron Ramsey",Cheltenham,Loan,11-Jan-22
"/img/countries/england.svg","Caleb Chukwuemeka",Livingston,Loan,12-Jan-22
"/img/countries/netherlands.svg","Anwar El Ghazi",Everton,Loan,13-Jan-22
"/img/countries/england.svg","Sebastian Revan",Hereford,Loan,14-Jan-22
"/img/countries/england.svg","Arjan Raikhy",Grimsby,Loan,15-Jan-22
"/img/countries/england.svg","Jaden Philogene-Bidace",Stoke,Loan,21-Jan-22
"/img/countries/england.svg","Cameron Archer",Preston,Loan,24-Jan-22
"/img/countries/england.svg","Louie Barry",Swindon,Loan,28-Jan-22
"/img/countries/poland.svg","Filip Marschall",Gateshead,Loan,31-Jan-22
"/img/countries/england.svg","Jed Steer",Luton,Loan,31-Jan-22
"/img/countries/england.svg","Matt Targett",Newcastle,Loan,31-Jan-22
"/img/countries/england.svg","Kaine Kesler Hayden","MK Dons",Loan,31-Jan-22
"/img/countries/ireland.svg","Tyreik Wright",Colchester,Loan,31-Jan-22
"/img/countries/egypt.svg",Trezeguet,Basaksehir,Loan,08-Feb-22
